Term	Dept	Crse	Sect	Title	FacultyName	StartDate	EndDate	ReportLink	FlagNoReview	ClassSize	OverallMean	OverallSD	OverallResponseRate	QualityMean	QualitySD	QualityMedian	QualityResponseRate	InstructorMean	InstructorSD	InstructorMedian	InstructorResponseRate	IntellectualChallengeMean	IntellectualChallengeSD	IntellectualChallengeMedian	IntellectualChallengeRate	TAMean	TASD	TAMedian	TARate	FeedbackMean	FeedbackSD	FeedbackMedian	FeedbackRate	RelativeWorkMean	RelativeWorkSD	RelativeWorkMedian	RelativeWorkRate
	AS Public Health Studies	AS.280.240	01	Research Methods in Public Health	"Tobin, Karin"	08/28/2023	12/08/2023	Link	0	19	3.88	0.76	0.894736842	3.53	1.01	4	0.894736842	4.24	0.83	4	0.894736842	3.31	0.87	3	0.842105263	4.81	0.54	5	0.894736842	4.65	0.49	5	0.894736842	2.76	0.83	3	0.894736842
AE Fall 2023	AS Public Health Studies	AS.280.240	02	Research Methods in Public Health	"Davey-Rothwell, Melissa"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Public Health Studies	AS.280.240	03	Research Methods in Public Health	"Davey-Rothwell, Melissa"	08/28/2023	12/08/2023	Link	0	17	3.97	0.71	0.941176471	3.94	1	4	0.941176471	3.94	0.93	4	0.941176471	3.63	0.81	4	0.941176471	4.67	0.49	5	0.941176471	4.75	0.45	5	0.941176471	2.88	0.62	3	0.941176471
	AS Public Health Studies	AS.280.240	03	Research Methods in Public Health	"Tobin, Karin"	08/28/2023	12/08/2023	Link	0	17	4	0.71	0.941176471	3.94	1	4	0.941176471	4.13	0.89	4	0.941176471	3.63	0.81	4	0.941176471	4.67	0.49	5	0.941176471	4.75	0.45	5	0.941176471	2.88	0.62	3	0.941176471
AE Fall 2023	AS Public Health Studies	AS.280.240	04	Research Methods in Public Health	"Davey-Rothwell, Melissa"	08/28/2023	12/08/2023	Link	0	16	3.89	0.78	1	3.94	0.85	4	1	3.67	0.98	4	0.9375	3.88	0.81	4	1	4.81	0.4	5	1	4.63	0.72	5	1	2.44	0.89	3	1
	AS Public Health Studies	AS.280.240	04	Research Methods in Public Health	"Tobin, Karin"	08/28/2023	12/08/2023	Link	0	16	4	0.71	1	3.94	0.85	4	1	4.31	0.6	4	1	3.88	0.81	4	1	4.81	0.4	5	1	4.63	0.72	5	1	2.44	0.89	3	1
AE Fall 2023	AS Public Health Studies	AS.280.240	05	Research Methods in Public Health	"Davey-Rothwell, Melissa"	08/28/2023	12/08/2023	Link	0	19	3.61	0.91	0.947368421	3.61	0.98	3.5	0.947368421	3.72	0.75	4	0.947368421	3.41	1	3	0.894736842	4.25	0.93	4.5	0.894736842	4.24	0.9	4	0.894736842	2.41	0.87	2	0.894736842
	AS Public Health Studies	AS.280.240	05	Research Methods in Public Health	"Tobin, Karin"	08/28/2023	12/08/2023	Link	0	19	3.63	0.92	0.947368421	3.61	0.98	3.5	0.947368421	3.88	0.86	4	0.894736842	3.41	1	3	0.894736842	4.25	0.93	4.5	0.894736842	4.24	0.9	4	0.894736842	2.41	0.87	2	0.894736842
AE Fall 2023	AS Public Health Studies	AS.280.495	01	Honors in Public Health - Seminar	"Winch, Peter John"	08/28/2023	12/08/2023	Link	0	18	4.44	0.69	1	4.56	0.86	5	1	4.61	0.85	5	1	4.41	0.87	5	0.944444444	4.88	0.33	5	0.944444444	4.71	0.59	5	0.944444444	3.47	0.62	3	0.944444444
AE Fall 2023	AS Sociology	AS.230.175	01	Chinese Revolutions	"Kuo, Huei-Ying"	08/28/2023	12/08/2023	Link	0	18	4.17	0.82	1	4.33	0.69	4	1	4.22	0.81	4	1	4.44	0.7	5	1	0	0	0	0.944444444	4.13	0.96	4	0.888888889	3.71	0.92	4	0.944444444
AE Fall 2023	AS Sociology	AS.230.313	01	"Space, Place, Poverty & Race: Sociological Perspectives on Neighborhoods & Public Housing"	"Deluca, Stefanie"	08/28/2023	12/08/2023	Link	0	8	4.6	0.47	0.875	4.57	0.53	5	0.875	4.71	0.49	5	0.875	4.86	0.38	5	0.875	0	0	0	0.875	4.86	0.38	5	0.875	4	0.58	4	0.875
AE Fall 2023	AS Sociology	AS.230.317	01	Sociology of Immigration	"Hao, Lingxin"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Sociology	AS.230.328	01	Agrarian Change in Post-Reform China and Beyond	"Liu, Tiantian"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Sociology	AS.230.332	01	"Family, Gender, and Sexuality in East Asia"	"Wan, Yifeng"	08/28/2023	12/08/2023	Link	0	9	4.42	0.53	0.888888889	4.88	0.35	5	0.888888889	4.88	0.35	5	0.888888889	4.63	0.52	5	0.888888889	5	0	5	0.875	4	1.07	4	0.888888889	3.13	0.35	3	0.888888889
AE Fall 2023	AS Sociology	AS.230.333	01	School Choice: How Parents and Policy Shape Children's Schooling	"Boselovic, Joseph Leonard"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Sociology	AS.230.335	01	Medical Humanitarianism	"Naveh Benjamin, Ilil"	08/28/2023	12/08/2023	Link	0	18	4.57	0.28	1	4.94	0.24	5	1	5	0	5	1	4.78	0.55	5	1	5	0	5	1	4.94	0.24	5	0.944444444	2.76	0.66	3	0.944444444
AE Fall 2023	AS Sociology	AS.230.340	01	Human Rights Activism: Between Theory and Practice	"Naveh Benjamin, Ilil"	08/28/2023	12/08/2023	Link	0	18	4.49	0.42	0.944444444	4.88	0.49	5	0.944444444	4.88	0.33	5	0.944444444	4.63	0.72	5	0.888888889	5	0	5	0.944444444	4.81	0.54	5	0.888888889	2.75	0.45	3	0.944444444
AE Fall 2023	AS Sociology	AS.230.345	01	Global Migration and Development	"Agarwala, Rina"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Sociology	AS.230.355	01	Caste and Race in Capitalism	"Sharma, Sonal"	08/28/2023	12/08/2023	Link	0	7	4.57	0.41	1	4.86	0.38	5	1	4.86	0.38	5	1	4.71	0.76	5	1	0	0	0	1	5	0	5	1	3.43	0.53	3	1
AE Fall 2023	AS Sociology	AS.230.360	01	Finance Capitalism	"Jacober, Conrad"	08/28/2023	12/08/2023	Link	0	9	4.57	0.57	0.888888889	4.75	0.46	5	0.888888889	4.63	0.74	5	0.888888889	4.63	0.52	5	0.888888889	0	0	0	0.888888889	4.88	0.35	5	0.888888889	4	0.76	4	0.888888889
AE Fall 2023	AS Sociology	AS.230.416	01	Social Demography	"Chen, Feinian"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	"AS Study of Women, Gender, & Sexuality"	AS.363.253	01	"Disease, Illness and Medicine from the Perspective of Women, Gender and Sexuality Studies"	"Han, Clara"	08/28/2023	12/08/2023	Link	0	11	3.57	1.07	0.909090909	3	1.33	3	0.909090909	2.7	1.42	3	0.909090909	3.8	1.14	3.5	0.909090909	4.3	0.67	4	0.909090909	4.1	0.99	4	0.909090909	3.5	0.85	3.5	0.909090909
AE Fall 2023	"AS Study of Women, Gender, & Sexuality"	AS.363.253	02	"Disease, Illness and Medicine from the Perspective of Women, Gender and Sexuality Studies"	"Han, Clara"	08/28/2023	12/08/2023	Link	0	8	3.78	0.88	1	3	1.07	3	1	2.75	1.04	3	1	4.13	0.64	4	1	4.57	0.79	5	0.875	4.38	0.92	5	1	3.88	0.83	4	1
AE Fall 2023	"AS Study of Women, Gender, & Sexuality"	AS.363.253	03	"Disease, Illness and Medicine from the Perspective of Women, Gender and Sexuality Studies"	"Han, Clara"	08/28/2023	12/08/2023	Link	0	11	3.76	0.96	0.818181818	3.22	1.2	3	0.818181818	3.22	1.2	3	0.818181818	4	1.32	4	0.818181818	4.56	0.73	5	0.818181818	4.11	0.78	4	0.818181818	3.44	0.53	3	0.818181818
AE Fall 2023	AS Theatre Arts & Studies	AS.225.318	01	21st Century Female Playwrights	"Denithorne, Margaret"	08/28/2023	12/08/2023	Link	0	5	3.6	0.58	0.6	4	0	4	0.6	4.67	0.58	5	0.6	4.33	0.58	4	0.6	0	0	0	0.6	3.33	1.15	4	0.6	1.67	0.58	2	0.6
AE Fall 2023	AS Theatre Arts & Studies	AS.225.330	01	Playwriting Strategies	"Martin, Joseph H"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	01	Reintroduction to Writing	"Hull, Brittany"	08/28/2023	12/08/2023	Link	0	10	2.77	1.23	1	2.8	1.32	3	1	2.6	1.17	2.5	1	3.11	1.17	3	1	1	0	1	0.9	3	1.56	4	1	4.11	0.93	4	0.9
AE Fall 2023	AS Writing Program	AS.004.101	02	Reintroduction to Writing	"Schnitzler, Carly"	08/28/2023	12/08/2023	Link	0	12	4.53	0.37	1	4.92	0.29	5	1	5	0	5	1	4.5	0.67	5	1	5	0	5	1	4.83	0.39	5	1	2.92	0.51	3	1
AE Fall 2023	AS Writing Program	AS.004.101	03	Reintroduction to Writing	"Cui, Wenqi"	08/28/2023	12/08/2023	Link	0	12	3.93	0.99	1	3.58	1.24	4	1	3.83	1.11	4	1	3.83	0.94	4	1	0	0	0	1	4.33	0.89	4.5	1	4.08	0.79	4	1
AE Fall 2023	AS Writing Program	AS.004.101	04	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	05	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	06	Reintroduction to Writing	"Hull, Brittany"	08/28/2023	12/08/2023	Link	0	10	3.3	0.96	1	2.8	0.92	3	1	2.8	1.03	2.5	1	3.5	0.85	3.5	1	0	0	0	1	3.4	1.17	4	1	4	0.82	4	1
AE Fall 2023	AS Writing Program	AS.004.101	07	Reintroduction to Writing	"Cui, Wenqi"	08/28/2023	12/08/2023	Link	0	11	3.75	1.01	0.909090909	3.25	1.16	3	0.727272727	3.38	1.19	3.5	0.727272727	3.75	1.04	4	0.727272727	0	0	0	0.727272727	4	0.93	4	0.727272727	4.38	0.74	4.5	0.727272727
AE Fall 2023	AS Writing Program	AS.004.101	08	Reintroduction to Writing	"Berger, Donald W"	08/28/2023	12/08/2023	Link	0	11	4.15	1.07	1	4.3	1.16	5	0.909090909	4.3	1.16	5	0.909090909	4	1.05	4	0.909090909	5	0	5	0.909090909	4.3	1.16	5	0.909090909	3	0.82	3	0.909090909
AE Fall 2023	AS Writing Program	AS.004.101	09	Reintroduction to Writing	"Devenot, Nese"	08/28/2023	12/08/2023	Link	0	12	4.57	0.56	1	4.58	0.67	5	1	4.82	0.4	5	0.916666667	4.42	0.67	4.5	1	5	0	5	1	4.92	0.29	5	1	3.67	0.78	3.5	1
AE Fall 2023	AS Writing Program	AS.004.101	10	Reintroduction to Writing	"Devenot, Nese"	08/28/2023	12/08/2023	Link	0	11	4.35	0.79	0.909090909	4.44	0.73	5	0.818181818	4.22	1.09	5	0.818181818	4.11	0.78	4	0.818181818	5	0	5	0.818181818	4.89	0.33	5	0.818181818	3.44	1.01	3	0.818181818
AE Fall 2023	AS Writing Program	AS.004.101	11	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	12	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	13	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	14	Reintroduction to Writing	"Schnitzler, Carly"	08/28/2023	12/08/2023	Link	0	12	4.28	0.6	1	4.55	0.69	5	0.916666667	4.64	0.67	5	0.916666667	4.27	0.65	4	0.916666667	0	0	0	0.916666667	4.64	0.5	5	0.916666667	3.3	0.48	3	0.916666667
AE Fall 2023	AS Writing Program	AS.004.101	15	Reintroduction to Writing	"Galasi, Francis"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	16	Reintroduction to Writing	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.101	17	Reintroduction to Writing	"Brown, Nathanael A"	08/28/2023	12/08/2023	Link	0	12	4.51	0.35	1	4.92	0.29	5	1	4.92	0.29	5	1	4.67	0.49	5	1	5	0	5	1	5	0	5	1	2.58	0.67	3	1
AE Fall 2023	AS Writing Program	AS.004.221	01	Research with the Zombie Apocalypse	"Hartmann-Villalta, Laura"	08/28/2023	12/08/2023	Link	0	14	4.4	0.59	0.928571429	4.69	0.63	5	0.928571429	4.62	0.65	5	0.928571429	4.58	0.51	5	0.857142857	0	0	0	0.928571429	4.69	0.48	5	0.928571429	3.42	0.67	3.5	0.928571429
AE Fall 2023	AS Writing Program	AS.004.241	01	Writing About	"Oppel, George"	08/28/2023	12/08/2023	Link	0	14	4.23	0.64	1	4.57	0.65	5	1	4.36	0.84	5	1	4	0.68	4	1	5	0	5	1	4.93	0.27	5	1	2.54	0.78	3	0.928571429
AE Fall 2023	AS Writing Program	AS.004.241	02	Writing About	"Oppel, George"	08/28/2023	12/08/2023	Link	0	12	4.47	0.37	1	4.67	0.65	5	1	4.83	0.39	5	1	4.83	0.39	5	1	0	0	0	1	5	0	5	1	3	0.43	3	1
AE Fall 2023	AS Writing Program	AS.004.241	03	Writing About	"Wexler, Anthony Charles"	08/28/2023	12/08/2023	Link	0	10	4.5	0.22	1	5	0	5	1	4.9	0.32	5	1	4.9	0.32	5	1	0	0	0	1	5	0	5	1	2.7	0.48	3	1
AE Fall 2023	AS Writing Program	AS.004.241	04	Writing About	"Wright, Lisa"	08/28/2023	12/08/2023	Link	0	11	4.53	0.43	0.727272727	5	0	5	0.727272727	5	0	5	0.727272727	4.75	0.71	5	0.727272727	0	0	0	0.727272727	4.75	0.46	5	0.727272727	3.13	0.99	3	0.727272727
AE Fall 2023	AS Writing Program	AS.004.307	01	Training\Writing Consltn	"Vinyard, Deirdre"	08/28/2023	10/24/2023	Link	0	15	4.18	0.58	0.933333333	4.85	0.38	5	0.866666667	4.92	0.28	5	0.866666667	4	1	4	0.866666667	0	0	0	0.866666667	4.75	0.46	5	0.866666667	2.38	0.77	3	0.866666667
AE Fall 2023	AS Writing Program	AS.004.321	01	Humanities Writing & Research Lab	"Brodsky, Anne-Elizabeth Murdy"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.341	02	Writing	"Brown, Nathanael A"	08/28/2023	12/08/2023	Link	0	12	4.27	0.67	1	4.67	0.78	5	1	4.75	0.62	5	1	4.5	0.67	5	1	0	0	0	1	4.83	0.39	5	1	2.58	0.9	2.5	1
AE Fall 2023	AS Writing Program	AS.004.341	03	Writing	"Hartmann-Villalta, Laura"	08/28/2023	12/08/2023	Link	0	8	4.57	0.36	1	5	0	5	1	4.88	0.35	5	1	4.5	0.53	4.5	1	0	0	0	1	5	0	5	1	3.5	0.93	3.5	1
AE Fall 2023	AS Writing Program	AS.004.341	04	Writing	"Wright, Lisa"	08/28/2023	12/08/2023	Link	0	15	4.63	0.51	0.933333333	5	0	5	0.933333333	4.79	0.58	5	0.933333333	4.79	0.43	5	0.933333333	0	0	0	0.933333333	4.79	0.58	5	0.933333333	3.79	0.97	4	0.933333333
AE Fall 2023	AS Writing Program	AS.004.351	01	The Academic Conference	"Koullas, Sandy Gillian"	08/28/2023	12/08/2023	Link	0	8	4.3	0.78	1	4.75	0.71	5	1	4.88	0.35	5	1	4.63	0.74	5	1	0	0	0	1	4.25	0.89	4.5	1	3	1.2	3	1
AE Fall 2023	AS Writing Program	AS.004.600	01	The Teaching Writing Workshop	"Pavesich, Matthew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Program	AS.004.621	01	Academic Writing for the PhD	"O'Connor, Marie T"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Seminars	AS.220.105	01	Introduction to Fiction & Poetry I	"Green, Regan E"	08/28/2023	12/08/2023	Link	0	14	4.44	0.55	0.857142857	4.64	0.5	5	0.785714286	4.73	0.47	5	0.785714286	4.64	0.5	5	0.785714286	5	0	5	0.785714286	4.64	0.5	5	0.785714286	3	0.77	3	0.785714286
AE Fall 2023	AS Writing Seminars	AS.220.105	02	Introduction to Fiction & Poetry I	"Niven, Samantha"	08/28/2023	12/08/2023	Link	0	13	4.14	0.69	0.923076923	4.1	0.74	4	0.769230769	4.11	0.78	4	0.769230769	4.2	0.79	4	0.769230769	4.5	0.71	4.5	0.769230769	4.7	0.48	5	0.769230769	3.2	0.63	3	0.769230769
AE Fall 2023	AS Writing Seminars	AS.220.105	03	Introduction to Fiction & Poetry I	"Green, Regan E"	08/28/2023	12/08/2023	Link	0	14	4.58	0.32	1	4.93	0.27	5	1	4.93	0.27	5	1	4.86	0.36	5	1	5	0	5	1	4.92	0.28	5	1	2.86	0.77	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	04	Introduction to Fiction & Poetry I	"Oathout, Phoebe"	08/28/2023	12/08/2023	Link	0	14	4.37	0.55	1	4.79	0.43	5	1	4.85	0.38	5	0.928571429	4.31	0.63	4	0.928571429	0	0	0	0.928571429	4.85	0.55	5	0.928571429	3.08	0.76	3	0.928571429
AE Fall 2023	AS Writing Seminars	AS.220.105	05	Introduction to Fiction & Poetry I	"Cox, Josiah"	08/28/2023	12/08/2023	Link	0	14	4.16	0.82	1	4.36	0.93	5	1	4.43	0.94	5	1	4.29	0.61	4	1	0	0	0	0.857142857	4.64	0.63	5	1	3.07	1	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	06	Introduction to Fiction & Poetry I	"Green, Regan E"	08/28/2023	12/08/2023	Link	0	11	4.35	0.9	1	4.45	0.93	5	1	4.45	0.93	5	1	4.45	0.52	4	1	5	0	5	1	4.55	1.21	5	1	3.18	0.87	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	07	Introduction to Fiction & Poetry I	"Oathout, Phoebe"	08/28/2023	12/08/2023	Link	0	10	4.26	0.63	1	4.7	0.67	5	1	4.6	0.84	5	1	4.3	0.82	4.5	1	0	0	0	1	5	0	5	1	2.7	0.82	2.5	1
AE Fall 2023	AS Writing Seminars	AS.220.105	08	Introduction to Fiction & Poetry I	"Cox, Josiah"	08/28/2023	12/08/2023	Link	0	14	4.23	0.69	0.928571429	4.31	0.75	4	0.928571429	4.62	0.65	5	0.928571429	4.08	0.76	4	0.928571429	0	0	0	0.928571429	4.77	0.44	5	0.928571429	3.38	0.87	3	0.928571429
AE Fall 2023	AS Writing Seminars	AS.220.105	09	Introduction to Fiction & Poetry I	"Jensen, Carlee Alexa"	08/28/2023	12/08/2023	Link	0	15	4.39	0.52	1	4.67	0.62	5	1	4.93	0.26	5	1	4.4	0.74	5	1	0	0	0	1	4.87	0.35	5	1	3.07	0.62	3	0.933333333
AE Fall 2023	AS Writing Seminars	AS.220.105	10	Introduction to Fiction & Poetry I	"Oathout, Phoebe"	08/28/2023	12/08/2023	Link	0	15	4.37	0.51	1	4.67	0.49	5	1	4.87	0.35	5	1	4.47	0.74	5	1	0	0	0	1	4.93	0.26	5	1	2.93	0.7	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	11	Introduction to Fiction & Poetry I	"Cox, Josiah"	08/28/2023	12/08/2023	Link	0	15	3.91	0.78	0.933333333	4.14	1.03	4.5	0.933333333	4.57	0.76	5	0.933333333	3.86	0.95	4	0.933333333	3	0	3	0.933333333	4.69	0.48	5	0.866666667	3.21	0.7	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	12	Introduction to Fiction & Poetry I	"Wray, Caroline C"	08/28/2023	12/08/2023	Link	0	14	4.03	1.03	1	4.36	0.93	5	1	4.29	1.07	4.5	1	3.93	1.14	4	1	0	0	0	1	4.43	0.85	5	1	3.15	1.14	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	13	Introduction to Fiction & Poetry I	"Steidle, Brianna Caye"	08/28/2023	12/08/2023	Link	0	14	4.34	0.51	1	4.71	0.47	5	1	4.93	0.27	5	1	4.31	0.48	4	0.928571429	4	0	4	1	4.86	0.36	5	1	3.21	0.97	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	14	Introduction to Fiction & Poetry I	"Gathright, Kathleen"	08/28/2023	12/08/2023	Link	0	14	4.14	1.13	0.928571429	4.15	1.14	4	0.928571429	4.23	1.17	5	0.928571429	4	1.22	4	0.928571429	5	0	5	0.928571429	4.15	1.28	5	0.928571429	3.31	0.85	3	0.928571429
AE Fall 2023	AS Writing Seminars	AS.220.105	15	Introduction to Fiction & Poetry I	"Wray, Caroline C"	08/28/2023	12/08/2023	Link	0	14	4.25	0.93	1	4.36	0.93	5	1	4.43	0.94	5	1	4.14	0.86	4	1	5	0	5	1	4.21	0.89	4	1	3.36	1.01	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	16	Introduction to Fiction & Poetry I	"Steidle, Brianna Caye"	08/28/2023	12/08/2023	Link	0	14	4.44	0.51	1	4.71	0.47	5	1	4.79	0.43	5	1	4.64	0.63	5	1	4.5	0.71	4.5	1	4.79	0.43	5	1	3.21	0.43	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	17	Introduction to Fiction & Poetry I	"Coates, Jainey"	08/28/2023	12/08/2023	Link	0	15	3.81	0.84	0.933333333	4.21	0.8	4	0.933333333	4.14	1.03	4.5	0.933333333	3.77	0.93	4	0.866666667	0	0	0	0.933333333	4.5	0.52	4.5	0.933333333	2.43	0.94	2	0.933333333
AE Fall 2023	AS Writing Seminars	AS.220.105	18	Introduction to Fiction & Poetry I	"Gathright, Kathleen"	08/28/2023	12/08/2023	Link	0	14	3.77	0.74	1	3.64	0.93	4	1	3.93	0.83	4	1	3.71	0.47	4	1	4	0	4	0.928571429	4.14	0.77	4	1	3.21	0.7	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	19	Introduction to Fiction & Poetry I	"Wray, Caroline C"	08/28/2023	12/08/2023	Link	0	13	4.35	0.51	0.923076923	4.67	0.49	5	0.923076923	4.73	0.47	5	0.846153846	4.27	0.65	4	0.846153846	0	0	0	0.846153846	4.9	0.32	5	0.769230769	3.18	0.6	3	0.846153846
AE Fall 2023	AS Writing Seminars	AS.220.105	20	Introduction to Fiction & Poetry I	"Steidle, Brianna Caye"	08/28/2023	12/08/2023	Link	0	15	3.95	0.82	1	3.93	0.88	4	1	4	0.85	4	1	4.07	0.7	4	1	0	0	0	0.933333333	4.53	0.92	5	1	3.2	0.77	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	21	Introduction to Fiction & Poetry I	"Clark, Cora Willemtje"	08/28/2023	12/08/2023	Link	0	12	4.03	0.55	1	4.42	0.67	4.5	1	4.5	0.52	4.5	1	3.91	0.7	4	1	3.5	0.71	3.5	1	5	0	5	1	2.83	0.72	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	22	Introduction to Fiction & Poetry I	"Gathright, Kathleen"	08/28/2023	12/08/2023	Link	0	13	4.58	0.39	1	4.92	0.29	5	1	4.92	0.29	5	0.923076923	4.75	0.45	5	0.923076923	5	0	5	0.923076923	4.73	0.47	5	0.846153846	3.17	0.83	3	0.923076923
AE Fall 2023	AS Writing Seminars	AS.220.105	23	Introduction to Fiction & Poetry I	"Cheney, Samuel"	08/28/2023	12/08/2023	Link	0	15	4.35	0.52	0.933333333	4.93	0.27	5	0.933333333	4.93	0.27	5	0.933333333	4.5	0.65	5	0.933333333	5	0	5	0.933333333	4.38	0.77	5	0.866666667	2.36	0.63	2	0.933333333
AE Fall 2023	AS Writing Seminars	AS.220.105	24	Introduction to Fiction & Poetry I	"Cheney, Samuel"	08/28/2023	12/08/2023	Link	0	14	4.55	0.38	1	5	0	5	1	4.93	0.27	5	1	4.5	0.76	5	1	5	0	5	1	4.93	0.27	5	1	2.93	0.62	3	1
AE Fall 2023	AS Writing Seminars	AS.220.105	25	Introduction to Fiction & Poetry I	"Danklin, Deirdre"	08/28/2023	12/08/2023	Link	0	15	4.39	0.57	1	4.87	0.35	5	1	4.93	0.26	5	1	4.2	1.01	5	1	5	0	5	1	4.93	0.26	5	1	2.4	0.99	3	1
AE Fall 2023	AS Writing Seminars	AS.220.106	01	Introduction to Fiction & Poetry II	"Owens, Jameson Grant"	08/28/2023	12/08/2023	Link	0	10	4.28	0.64	0.9	4.56	0.73	5	0.9	4.67	0.71	5	0.9	4	0.71	4	0.9	5	0	5	0.9	4.44	1.01	5	0.9	3	0.71	3	0.9
AE Fall 2023	AS Writing Seminars	AS.220.106	02	Introduction to Fiction & Poetry II	"Ologunro, Olakunle Oladipupo"	08/28/2023	12/08/2023	Link	0	13	4.28	0.46	1	4.69	0.48	5	1	4.83	0.39	5	0.923076923	4.33	0.65	4	0.923076923	0	0	0	0.923076923	4.92	0.29	5	0.923076923	2.64	0.5	3	0.846153846
AE Fall 2023	AS Writing Seminars	AS.220.106	03	Introduction to Fiction & Poetry II	"Choi, Hye Ji"	08/28/2023	12/08/2023	Link	0	12	4.5	0.33	0.916666667	4.82	0.4	5	0.916666667	4.91	0.3	5	0.916666667	4.45	0.52	4	0.916666667	5	0	5	0.916666667	5	0	5	0.916666667	2.82	0.4	3	0.916666667
AE Fall 2023	AS Writing Seminars	AS.220.106	04	Introduction to Fiction & Poetry II	"Choi, Hye Ji"	08/28/2023	12/08/2023	Link	0	14	4.33	0.76	1	4.79	0.58	5	1	4.86	0.53	5	1	4.64	0.74	5	1	4	1.41	4	1	4.71	0.73	5	1	3	0.55	3	1
AE Fall 2023	AS Writing Seminars	AS.220.106	05	Introduction to Fiction & Poetry II	"Tsuno, Nicole Yoshiko"	08/28/2023	12/08/2023	Link	0	15	4.57	0.26	1	4.93	0.26	5	1	5	0	5	1	4.87	0.35	5	1	0	0	0	1	5	0	5	1	3.07	0.7	3	1
AE Fall 2023	AS Writing Seminars	AS.220.106	06	Introduction to Fiction & Poetry II	"Choi, Hye Ji"	08/28/2023	12/08/2023	Link	0	12	4.61	0.34	1	4.92	0.29	5	1	4.92	0.29	5	1	4.75	0.45	5	1	5	0	5	1	4.92	0.29	5	1	3.17	0.39	3	1
AE Fall 2023	AS Writing Seminars	AS.220.107	01	Podcasting:  Telling Stories in Sound	"Henkin, Aaron"	08/28/2023	12/08/2023	Link	0	13	4.21	0.58	1	4.92	0.28	5	1	4.83	0.39	5	0.923076923	4.33	0.65	4	0.923076923	0	0	0	0.923076923	4.36	0.81	5	0.846153846	2.58	0.79	3	0.923076923
AE Fall 2023	AS Writing Seminars	AS.220.108	01	Introduction to Fiction & Nonfiction	"Moulton, Katie"	08/28/2023	12/08/2023	Link	0	16	4.16	0.67	1	4.63	0.62	5	1	4.63	0.62	5	1	4.19	0.91	4	1	4	0	4	0.875	4.8	0.41	5	0.9375	2.73	0.8	3	0.9375
AE Fall 2023	AS Writing Seminars	AS.220.200	01	The Craft of Fiction	"Keleher, Kate L"	08/28/2023	12/08/2023	Link	0	12	4.53	0.31	1	4.92	0.29	5	1	5	0	5	1	4.75	0.45	5	1	0	0	0	1	4.92	0.29	5	1	3.08	0.51	3	1
AE Fall 2023	AS Writing Seminars	AS.220.200	02	The Craft of Fiction	"Moulton, Katherine J"	08/28/2023	12/08/2023	Link	0	8	4.53	0.34	1	4.88	0.35	5	1	5	0	5	1	4.63	0.52	5	1	0	0	0	1	4.88	0.35	5	1	3.25	0.46	3	1
AE Fall 2023	AS Writing Seminars	AS.220.200	03	The Craft of Fiction	"Keleher, Kate L"	08/28/2023	12/08/2023	Link	0	15	4.56	0.16	1	5	0	5	1	5	0	5	1	4.8	0.41	5	1	0	0	0	1	5	0	5	1	3	0.38	3	1
